FORMA,TIPO,SUBTIPO,SIGNIFICADO,DERIVADOS
##atari,sufijo derivativo,verbo a nombre/ nombre a nombre,Nombre de persona (adjetivos sustantivados / significan: ‘el que hace lo que señala la base’) / al que se destina o dirige la acción señalada en la base / nombre de lugar / Nombre de persona (‘al que se destina o dirige la acción señalada en la base’) / designa al que tiene algo a su cargo / nombre de objeto / lugar / grupo,##ar/ ##ari##
##azo,sufijo derivativo,verbo a nombre/ nombre a nombre,Golpes y acciones bruscas / repentinas o contundentes / Golpes y acciones bruscas / repentinas o contundentes (incluye sus sentidos traslaticios) / trago de bebida alcohólica / sonidos intensos y estridentes / ‘golpe’ militar / político / publicitario o periodístico,
##etazo,sufijo derivativo,nombre a nombre,Golpes y acciones bruscas / repentinas o contundentes (incluye sus sentidos traslaticios) / trago de bebida alcohólica / sonidos intensos y estridentes / ‘golpe’ militar / político / publicitario o periodístico,
##azgo,sufijo derivativo,verbo a nombre/ nombre a nombre,Acción y efecto de la noción expresada en la base/ condición / estatus o dignidad / lugar / periodo de tiempo ,
##ed,sufijo derivativo,nombre a nombre,Lugares poblados por árboles o plantas ,
##ez,sufijo derivativo,adjetivo a nombre/ nombre a nombre,Nombre de la cualidad o propiedad expresada en la base/ Periodo de la vida (humana),
##ezno,sufijo derivativo,nombre a nombre,Cría o cachorros de animal ,
##or,sufijo derivativo,adjetivo a nombre/ verbo a nombre/ nombre a nombre,Nombre de la cualidad o propiedad expresada en la base (siempre masculino) / sobre todo en su interpretación física./ Denota características / hábitos / profesiones / oficios u ocupaciones de personas (agente de una acción) / instrumentos / lugares / empresas (f) / Nombre de la cualidad o propiedad expresada en la base (siempre masculino). / Denota características / profesiones / oficios u ocupaciones de personas (agente de una acción) e instrumentos,/  ##triz / ##dor
##dura,sufijo derivativo,verbo a nombre/ nombre a nombre,Acción o efecto del evento expresado en la base / efecto material de una acción / instrumento / utensilio / recurso o medio / periodo/ Agrupaciones de cosas u objetos compuestos de varias piezas ,##ura / ##tura
##ía,sufijo derivativo,adjetivo a nombre/ nombre a nombre,Nombre de la cualidad o propiedad expresada en la base / designa lo dicho o hecho denotado por la base/ nombre de la condición (rango / cargo / profesión / empleo / titulación / institución o servicio) expresada en la base / oriundo del lugar expresado en la base / lugar en que el referente del nombre de la base desarrolla su actividad / nombre de grupo o colectivo ,
##ino,sufijo derivativo,nombre a nombre,Cría o cachorros de animal ,
##ío,sufijo derivativo,verbo a nombre/ nombre a nombre,acción y efecto de la noción expresada en la base / cualidad / lugar o grupo/ Acción y efecto de la noción expresada en la base / cualidad / lugar o grupo ,/ ##erío
##ismo,sufijo derivativo,adjetivo a nombre/ nombre a nombre,Nombre de la cualidad / condición / actitud / tendencia / estado o práctica habitual expresada en la base / doctrina / teoría / sistema o movimiento político / social / filosófico / científico o religioso / estilo o género artístico / enfermedades / síntomas y dolencias / origen de un vocablo / Nombre de la cualidad / condición / actitud / tendencia / estado o práctica habitual expresada en la base / doctrina / teoría / sistema o movimiento político - social / filosófico - científico o religioso / estilo o género artístico / enfermedades / síntomas y dolencias / actividades deportivas / afición a equipos o clubes deportivos / acto o hecho,
##iza,sufijo derivativo,nombre a nombre,Nombre de lugar -  golpe dado por el sustantivo de la base ,
##ería,sufijo derivativo,adjetivo a nombre/ verbo a nombre/ nombre a nombre,Nombre de la cualidad o condición expresada en la base / sobre todo cuando se trata de atributos peyorativos / acto o hecho relacionado/ Nombre de establecimiento donde se vende o se fabrica lo expresado en la base/ Nombre del lugar donde se vende o fabrica lo expresado en la base / nombre de grupo / nombre de la institución u organización / conjunto de cosas materiales (utensilios / instrumentos o accesorios) / conjunto de manifestaciones verbales (sentido despectivo)  ,/ ##ecía
##ecía,sufijo derivativo,nombre a nombre,Nombre del lugar donde se vende o fabrica lo expresado en la base / nombre de grupo / nombre de la institución u organización / conjunto de cosas materiales (utensilios / instrumentos o accesorios) / conjunto de manifestaciones verbales (sentido despectivo)  ,##ería
##erío,sufijo derivativo,verbo a nombre/ nombre a nombre,acción y efecto de la noción expresada en la base / cualidad / lugar o grupo/ Acción y efecto de la noción expresada en la base / cualidad / lugar o grupo / Conjunto de personas / animales o cosas (sentido irónico o despectivo),/ ##ío
##icer,sufijo derivativo,nombre a nombre,Nombre de oficios / profesiones u ocupaciones / recipientes / instrumentos o utensilios / prendas / lugares en general / pero también donde se halla alguien o en el que desarrolla su actividad / conjuntos o agrupaciones / árboles y plantas / aquello por lo que se siente afición / tiempo en el que alguien desarrolla su actividad / nombre de contenedores ,##er / ##ader / ##ater / ##oter
##ader,sufijo derivativo,nombre a nombre,Nombre de oficios / profesiones u ocupaciones / recipientes / instrumentos o utensilios / prendas / lugares en general / pero también donde se halla alguien o en el que desarrolla su actividad / conjuntos o agrupaciones / árboles y plantas / aquello por lo que se siente afición / tiempo en el que alguien desarrolla su actividad / nombre de contenedores ,##er /  ##icer / ##ater / ##oter
##ater,sufijo derivativo,nombre a nombre,Nombre de oficios / profesiones u ocupaciones / recipientes / instrumentos o utensilios / prendas / lugares en general / pero también donde se halla alguien o en el que desarrolla su actividad / conjuntos o agrupaciones / árboles y plantas / aquello por lo que se siente afición / tiempo en el que alguien desarrolla su actividad / nombre de contenedores ,##er /  ##icer /  ##ader / / ##oter
##oter,sufijo derivativo,nombre a nombre,Nombre de oficios / profesiones u ocupaciones / recipientes / instrumentos o utensilios / prendas / lugares en general / pero también donde se halla alguien o en el que desarrolla su actividad / conjuntos o agrupaciones / árboles y plantas / aquello por lo que se siente afición / tiempo en el que alguien desarrolla su actividad / nombre de contenedores ,##er /  ##icer /  ##ader / ##ater
##ción,sufijo derivativo,adjetivo a nombre/ verbo a nombre/ nombre a nombre,Nombre de la cualidad expresada en la base/ Acción o efecto del evento expresado en la base /  sistemas o estructuras /  nombre de lugares /  nombre de conjuntos o agrupaciones de cosas o personas /  nombres temporales/ Nombre de proceso expresado en la base,##ión/ ##zón /  ##sión / ##ión 
##za,sufijo derivativo,nombre a nombre,Nombre de persona / que practica un deporte,
##menta,sufijo derivativo,nombre a nombre,Nombre de colectivos,
##ota,sufijo derivativo,verbo a nombre/ nombre a nombre,Nombre de persona / con sentido peyorativo / cosas materiales ,##eta / ##ata
##ucho,sufijo derivativo,nombre a nombre,Cría o cachorros de animal,
##zón,sufijo derivativo,verbo a nombre/ nombre a nombre,Acción o efecto del evento expresado en la base /  sistemas o estructuras /  nombre de lugares /  nombre de conjuntos o agrupaciones de cosas o personas /  nombres temporales/ Sensación desagradable / acción brusca / golpe / conjuntos / periodos de tiempo / lugares/ Nombre de colectivos,##ción / ##sión / ##ión 
##ible,sufijo derivativo,verbo a adjetivo,Relacional. ‘Que se puede lo que indica el verbo’ / ‘que es de  lo que indica el verbo’ / ‘que es digno de  lo que indica el verbo’(las tres con sentido pasivo y modal) / ‘que debe ser +participio de  lo que indica el verbo’ (sentido modal) / puede incorporar a  lo que indica el verbo un valor ponderativo,##able
##der,sufijo derivativo,verbo a nombre/ nombre a nombre/ verbo a adjetivo,Nombre de agente / instrumento (f) y lugar (m) / muebles / Nombre de agente / instrumento y lugar / Relacional. ‘Que se puede lo que indica el verbo’ (sentido pasivo),##ndero / ##tori
##adiz,sufijo derivativo,verbo a adjetivo,Sentido pasivo. Propensión / disposición / inclinación o tendencia a  realizar lo que indica el verbo: ‘apto para lo que indica el verbo’ / ‘que se puede lo que indica el verbo’ / ‘que tiende a ser + participio de lo que indica el verbo’ ,##ediz / ##idiz
##ediz,sufijo derivativo,verbo a adjetivo,Sentido pasivo. Propensión / disposición / inclinación o tendencia a  realizar lo que indica el verbo: ‘apto para lo que indica el verbo’ / ‘que se puede lo que indica el verbo’ / ‘que tiende a  ser + participio de lo que indica el verbo’ ,##adiz / ##idiz
##idiz,sufijo derivativo,verbo a adjetivo,Sentido pasivo.  Propensión / disposición / inclinación o tendencia a  realizar lo que indica el verbo: ‘apto para lo que indica el verbo’ / ‘que se puede lo que indica el verbo’ / ‘que tiende a  ser + participio de lo que indica el verbo’ ,##adiz / ##ediz
##ctor,sufijo derivativo,verbo a adjetivo,Sentido activo. ‘Que hace lo que indica el verbo’ / ‘que tiene costumbre de hacer lo que indica el verbo’,##dor / ##tor / ##ceptor 
##tor,sufijo derivativo,verbo a adjetivo,Sentido activo. ‘Que hace lo que indica el verbo’ / ‘que tiene costumbre de hacer lo que indica el verbo’,##dor / ##ctor /##ceptor 
##ceptor,sufijo derivativo,verbo a adjetivo,Sentido activo. ‘Que hace lo que indica el verbo’ / ‘que tiene costumbre de hacer lo que indica el verbo’,##dor / ##ctor / ##tor
##ific,sufijo derivativo,verbo a adjetivo,Relacional causativo. ‘Relativo o perteneciente a lo que indica el verbo,
##ativ,sufijo derivativo,verbo a adjetivo,relacional /  Relativo o perteneciente a  lo que indica el verbo / que hace lo que indica el verbo,##itiv / ##asiv / ##isiv / ##sitiv
##itiv,sufijo derivativo,verbo a adjetivo,relacional /  Relativo o perteneciente a  lo que indica el verbo / que hace lo que indica el verbo,##ativ / ##asiv / ##isiv / ##sitiv
##asiv,sufijo derivativo,verbo a adjetivo,relacional /  Relativo o perteneciente a  lo que indica el verbo / que hace lo que indica el verbo,##ativ / ##itiv / ##isiv / ##sitiv
##isiv,sufijo derivativo,verbo a adjetivo,relacional /  Relativo o perteneciente a  lo que indica el verbo / que hace lo que indica el verbo,##ativ / ##itiv / ##asiv / ##sitiv
##sitiv,sufijo derivativo,verbo a adjetivo,relacional /  Relativo o perteneciente a  lo que indica el verbo / que hace lo que indica el verbo,##ativ / ##itiv / ##asiv / ##isiv 
##nte,sufijo derivativo,verbo a nombre/ nombre a nombre/ verbo a adjetivo,Nombre de persona (género común) en cuanto a su oficio / ocupación o actividad / instrumento (m) / lugar (m/f) / producto o sustancia (m) / letras o sonidos / nombres episódicos / objetos / magnitudes resultantes / circunstancias / calificaciones escolares / alimentos/ Relativo y calificativo / Que hace lo que indica el verbo /  manifiesta una propiedad inherente (a veces  puede ser episódica) de la entidad de la que se habla.  ,/ ##ante / ##ente
##ante,sufijo derivativo,verbo a adjetivo,Relativo y calificativo / Que hace lo que indica el verbo /  manifiesta una propiedad inherente (a veces  puede ser episódica) de la entidad de la que se habla.  ,##nte / ##ente
##ente,sufijo derivativo,verbo a adjetivo,Relativo y calificativo / Que hace lo que indica el verbo /  manifiesta una propiedad inherente (a veces  puede ser episódica) de la entidad de la que se habla.  ,##nte / ##ante 
##tori,sufijo derivativo,verbo a nombre/ verbo a adjetivo,Nombre de agente / instrumento (f) y lugar (m) / muebles / Acción y efecto de la noción expresada en la base / lugar donde ocurre la acción/ Relacional y sentidos activo y pasivo / Relativo o perteneciente a lo que indica el verbo / que hace lo que indica el verbo [sentido activo] o  que es  lo que indica el verbo  [sentido pasivo],##der / ##ndero/ ##ori / ##sori
##sori,sufijo derivativo,verbo a adjetivo,Relacional y sentidos activo y pasivo / Relativo o perteneciente a lo que indica el verbo / que hace lo que indica el verbo [sentido activo] o  que es  lo que indica el verbo  [sentido pasivo],##ori / ##tori 
##able,sufijo derivativo,verbo a adjetivo/ nombre a adjetivo,Relacional. ‘Que se puede lo que indica el verbo’ / ‘que es de  lo que indica el verbo’ / ‘que es digno de  lo que indica el verbo’(las tres con sentido pasivo y modal) / ‘que debe ser +participio de  lo que indica el verbo’ (sentido modal) / puede incorporar a  lo que indica el verbo un valor ponderativo/ Relacional y sentido activo o pasivo / ‘Candidato a lo que indica el nombre /  ‘que puede llegar a ser lo que indica el nombre / ‘posible lo que indica el nombre / que tiene o da lo que indica el nombre (sentido pasivo o activo),##ible
##áce,sufijo derivativo,nombre a adjetivo,Calificativo / Semejante a lo que indica el nombre,
##ac,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de lo que indica el nombre’’ (gentilicio)  ,
##ad,sufijo derivativo,verbo a nombre/ nombre a nombre/ nombre a adjetivo,Golpe o acción impetuosa / golpe o acciones y movimientos repentinos dado con lo expresado en la base (sentido de acción) / herida causada por tal golpe (sentido de efecto) / acto propio de la persona designada en la base / nombres de medida o de contenido / grupos o conjuntos de cosas / de seres humanos o de animales / cosas materiales compuestas de otras más simples / periodo de tiempo / Relacional y calificativo. ‘Que posee lo que indica el nombre’’ / ‘denota lo que indica el nombre’’ / semejante a lo que indica el nombre’.  ,
##aic,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’’ ,
##ane,sufijo derivativo,nombre a adjetivo,Relacional y calificativo. ‘Relativo o perteneciente a lo que indica el nombre’’ / ‘semejante a lo que indica el nombre’’ ,
##ian,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’’ / ‘natural de lo que indica el nombre’’ (gentilicio),##an
##al,sufijo derivativo,nombre a nombre / adjetivo a nombre/ nombre a adjetivo,Nombre de árboles o plantas / terrenos plantados o sembrados /  lugares en los que abunda algo / nombre de conjuntos o agrupaciones / utensilios o instrumentos / Nombre de lugar/ Relacional. ‘Relativo o perteneciente a lo que indica el nombre’’ ,##ar/ ##ar / ##iar
##ial,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’’ ,##ar / ##al
##ual,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’’ ,
##tari,sufijo derivativo,nombre a adjetivo,Relacional y calificativo  Relativo a una persona o a un objeto / que dura la cantidad de tiempo expresada en N / número de décadas transcurridas desde algún suceso (con base latina) ,##ari / ##genari
##genari,sufijo derivativo,nombre a adjetivo,Relacional y calificativo Relativo a una persona o a un objeto / que dura la cantidad de tiempo expresada en N / número de décadas transcurridas desde algún suceso (con base latina) ,##ari / ##tari
##ata,sufijo derivativo,verbo a nombre/ nombre a nombre/ nombre a adjetivo,Nombre de persona / con sentido peyorativo / cosas materiales / Relacional.  / ‘Relativo o perteneciente a lo que indica el nombre’’ / ‘‘natural de donde indica el nombre’  (gentilicio) ,##ota / ##eta/ ##eta / ##ota
##átic,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’’ ,
##dor,sufijo derivativo,verbo a nombre/ nombre a nombre/ verbo a adjetivo/ nombre a adjetivo,Denota características / hábitos / profesiones / oficios u ocupaciones de personas (agente de una acción) / instrumentos / lugares / empresas (f) / Denota características / profesiones / oficios u ocupaciones de personas (agente de una acción) e instrumentos/ Sentido activo. ‘Que hace lo que indica el verbo’ / ‘que tiene costumbre de hacer lo que indica el verbo’/ Relacional. ‘Relativo o perteneciente a lo que indica el nombre’’ ,##triz / ##or/ / ##ctor / ##tor / ##ceptor
##ec,sufijo derivativo,nombre a adjetivo,Relacional.  / ‘Relativo o perteneciente a lo que indica el nombre’’ / ‘‘natural de donde indica el nombre’  (gentilicio) ,
##eg,sufijo derivativo,nombre a adjetivo,Relacional.  / ‘Relativo o perteneciente a lo que indica el nombre’’ / ‘‘natural de donde indica el nombre’  (gentilicio) ,
##en,sufijo derivativo,nombre a adjetivo,Relacional.  / ‘Relativo o perteneciente a lo que indica el nombre’’ / ‘‘natural de donde indica el nombre’  (gentilicio) ,
##ense,sufijo derivativo,nombre a adjetivo,Relacional.  / ‘Relativo o perteneciente a lo que indica el nombre’’ / ‘‘natural de donde indica el nombre’  (gentilicio) ,##iense
##iense,sufijo derivativo,nombre a adjetivo,Relacional.  / ‘Relativo o perteneciente a lo que indica el nombre’’ / ‘‘natural de donde indica el nombre’  (gentilicio) ,##ense
##ent,sufijo derivativo,nombre a adjetivo,Calificativo.  Denotan la presencia en alguna persona o cosa de la  noción designada por lo que indica el nombre / a menudo con intensidad /  extensión o abundancia / cualidad de tener / mostrar /  sentir o manifestar la noción (física o anímica) que lo que indica el nombre  indica / tendencia o disposición hacia lo que indica el nombre / denota que lo que indica el nombre  demuestra falta de limpieza. / aseo / pulcritud / compostura  o propiedad (el segmento se adjunta con frecuencia a  bases latinas) ,
##ient,sufijo derivativo,nombre a adjetivo,Calificativo.  Denotan la presencia en alguna persona o cosa de la  noción designada por lo que indica el nombre / a menudo con intensidad /  extensión o abundancia / cualidad de tener / mostrar /  sentir o manifestar la noción (física o anímica) que lo que indica el nombre  indica / tendencia o disposición hacia lo que indica el nombre / denota que lo que indica el nombre  demuestra falta de limpieza. / aseo / pulcritud / compostura  o propiedad (el segmento se adjunta con frecuencia a  bases latinas) ,
##eñ,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a donde indica el nombre /  ‘natural de donde indica el nombre’ (gentilicio) ,
##eo,sufijo derivativo,nombre a adjetivo,Relacional.  ‘Relativo o perteneciente a donde indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) / Calificativo.   Semejante o próximo a lo que indica el nombre (nombre con base latina).  ,##ea
##ea,sufijo derivativo,nombre a adjetivo,Relacional.   ‘Relativo o perteneciente a donde indica el nombre’ / ‘natural de lo que indica el nombre (gentilicio) / Calificativo.   Semejante o próximo a lo que indica el nombre (nombre con base latina).  ,##eo
##és,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) ,##es
##es,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) ,##és
##esc,sufijo derivativo,nombre a adjetivo,Relacional y calificativo.  ‘Relativo o perteneciente a lo que indica el nombre’ / ‘característico de lo que indica el nombre’ / que es artificioso / enredado / cómico / estrafalario / fingido / extravagante o poco natural ,
##eta,sufijo derivativo,verbo a nombre/ nombre a nombre/ nombre a adjetivo,Nombre de persona / con sentido peyorativo / cosas materiales / Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) ,##ota / ##ata / ##ete
##ic,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’,
##ífic,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’,
##il,sufijo derivativo,nombre a adjetivo,Relacional y calificativo.  ‘Relativo o perteneciente a lo que indica el nombre’ / ‘característico de lo que indica el nombre’ (a veces adquiere sentido despectivo),
##ín,sufijo derivativo,verbo a nombre/ nombre a adjetivo,Nombre de persona / cosas materiales/ Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) ,/ ##ina
##ina,sufijo derivativo,verbo a nombre/ nombre a adjetivo,Nombre de persona / cosas materiales/ Relacional. ‘Relativo o perteneciente a lo que indica el nombre / ‘natural de lo que indica el nombre’ (gentilicio) Calificativo. Semejante a lo que indica el nombre.,/ ##ín
##ístic,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’,
##ita,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) ,
##iv,sufijo derivativo,nombre a adjetivo,Calificativo y relacional Propensión / disposición / inclinación o tendencia a lo que indica el nombre / relativo o perteneciente a lo que indica el nombre / hecho de lo que indica el nombre / semejante a lo que indica el nombre / situado donde indica el nombre,
##o,sufijo derivativo/sufijo flexivo,verbo a nombre/ nombre a nombre/ nombre a adjetivo/verbo a verbo,Acción o efecto del evento expresado en la base / cantidad económica / sonidos de diferente naturaleza / instrumento / medio o recurso / lugar / periodos o tiempo / personas / propiedades / estados y actitudes/ Nombre de árboles/ Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) . -o se usa en adjetivos compuestos/primera persona del presente de indicativo,##a / ##e
##ol,sufijo derivativo,nombre a adjetivo,Relacional. ‘Relativo o perteneciente a lo que indica el nombre’ / ‘natural de donde indica el nombre’ (gentilicio) ,##ola
##ón,sufijo derivativo,verbo a nombre/ nombre a nombre/ verbo a adjetivo/ nombre a adjetivo,Designa personas / en sentido peyorativo / instrumentos / Designa golpes y otras acciones impetuosas/ Calificativo / Que suele hacer lo que indica el verbo (sentido despectivo) / Calificativo. Persona o animal que destaca por el tamaño / exceso / desproporción o malformación de alguna parte de su cuerpo / que no tiene lo que indica el nombre / que tiene cierta edad (sentido despectivo),##ona / ##lón / ##lona
##ona,sufijo derivativo,verbo a nombre/ verbo a adjetivo/ nombre a adjetivo,Designa personas / en sentido peyorativo / instrumentos / Calificativo / Que suele hacer lo que indica el verbo (sentido despectivo) / Calificativo. Persona o animal que destaca por el tamaño / exceso / desproporción o malformación de alguna parte de su cuerpo / que no tiene lo que indica el nombre / que tiene cierta edad (sentido despectivo),##ón / ##lón / ##lona
##ori,sufijo derivativo,verbo a adjetivo/ nombre a adjetivo,Relacional y sentidos activo y pasivo / Relativo o perteneciente a lo que indica el verbo / que hace lo que indica el verbo [sentido activo] o  que es  lo que indica el verbo  [sentido pasivo]/ Relacional.  ‘Relativo o perteneciente a lo que indica el nombre’ ,##tori / ##sori
##ud,sufijo derivativo,adjetivo a nombre/ nombre a adjetivo,Nombre de la cualidad expresada en la base/ Calificativo. Persona o animal que destaca por el tamaño / exceso / desproporción o malformación de alguna parte de su cuerpo / que tiene lo que indica el nombre (no necesariamente con denotación negativa) / exceso de lo que indica el nombre,##itud / ##tud
##un,sufijo derivativo,nombre a adjetivo,Calificativo. ‘Que es semejante a lo que indica el nombre’ ,
##ari,sufijo derivativo,nombre a nombre/ nombre a adjetivo/ adjetivo a adjetivo,Nombre de persona (‘al que se destina o dirige la acción señalada en la base’) / designa al que tiene algo a su cargo / nombre de objeto / lugar / grupo/ Relacional y calificativo Relativo a una persona o a un objeto / que dura la cantidad de tiempo expresada en N / número de décadas transcurridas desde algún suceso (con base latina) / Relacional y calificativo / Orden o grado en que se encuentra lo determinado por lo que indica el adjetivo, ##atari##/ ##tari / ##genari
##érrim,sufijo derivativo,adjetivo a adjetivo,Calificativo. / Que tiene lo que indica el adjetivo en grado extremo’ (solo con base culta) ,
##ici,sufijo derivativo,verbo a adjetivo/ nombre a adjetivo/ adjetivo a adjetivo,Sentido activo. ‘Que hace lo que indica el verbo’. / Relacional. ‘Relativo o perteneciente a lo que indica el nombre’/ Relacional.  ‘Relativo o perteneciente a lo que indica el adjetivo’ ,
